food,Caloric Value,Fat,Carbohydrates
egg white delight mcdonalds,250,16.0,0.0
french toast sticks burger king,73,3.7,8.7
mcchicken mcdonalds,358,17.3,36.6
nachos supreme taco bell,480,26.6,45.0
crispy chicken wing kentucky fried chicken,104,5.3,1.3
chicken strips burger king,105,5.5,7.4
crispy chicken breast kentucky fried chicken,214,6.7,0.4
sausage biscuit mcdonalds,440,29.7,31.8
sausage burrito mcdonalds,339,17.1,24.2
onion rings fried,27,1.6,2.8
onion rings burger king,379,23.0,39.7
turkey patty fried,79,5.0,4.4
hotcakes with syrup mcdonalds,601,17.8,101.8
crispy chicken thigh kentucky fried chicken,163,9.1,0.0
corn dog,195,9.4,21.0
chicken box mcdonalds,70,4.0,5.5
potato wedges kentucky fried chicken,379,19.8,45.0
scrambled eggs mcdonalds,98,7.5,0.9
egg mcmuffin mcdonalds,287,12.2,27.3
nachos taco bell,362,21.9,36.0
biscuit large mcdonalds,310,14.4,39.4
crispy chicken strips kentucky fried chicken,129,7.2,6.4
hotcakes mcdonalds,113,2.9,19.0
chicken crispy breast kentucky fried chicken,375,23.2,11.9
hotcakes sausage mcdonalds,776,34.9,102.4
chicken mcnuggets mcdonalds,48,3.2,2.4
chips chipotle,151,7.1,2.1
biscuit mcdonalds,261,12.2,33.3
rice bowl with chicken,36,0.4,6.4
spaghetti with meatballs,200,8.2,22.9
meat ravioli canned,259,8.9,36.0
cheese ravioli canned,186,3.5,33.0
premium crispy chicken ranch blt sandwich mcdonalds,586,22.9,59.8
steak sandwich,459,14.1,52.0
cheeseburger burger king,380,19.7,31.5
cheeseburger mcdonalds,313,14.0,33.1
double cheeseburger,643,36.9,41.0
double hamburger,942,58.6,51.4
premium grilled chicken classic sandwich mcdonalds,366,8.6,44.6
big n tasty with cheese mcdonalds,573,36.0,39.7
premium grilled chicken club sandwich mcdonalds,493,18.0,44.3
quarter pounder mcdonalds,417,19.8,37.9
premium crispy chicken classic sandwich mcdonalds,524,20.0,58.6
veggie burger,124,4.4,10.0
quarter pounder with cheese mcdonalds,513,28.3,39.7
beef sandwich steak raw,173,15.1,0.0
cheeseburger,292,13.2,28.7
premium grilled chicken ranch blt sandwich mcdonalds,412,10.9,44.3
double whopper with cheese burger king,1061,68.1,53.9
big mac mcdonalds,563,32.8,44.0
sandwich with cold cuts,833,39.3,79.9
filet o fish mcdonalds,378,19.6,35.4
hand breaded chicken tenders carls jr,57,2.9,0.2
grilled chicken sandwich wendys,370,8.0,0.0
sandwich with roast beef,410,13.0,44.3
hamburger burger king,258,10.4,26.5
big n tasty mcdonalds,524,31.7,38.5
roast beef sandwich,364,15.3,33.1
roast beef sandwich with cheese,473,18.0,45.4
hamburger,255,9.9,28.7
premium fish sandwich burger king,572,27.4,58.7
whopper burger king,790,48.4,52.8
sandwich with tuna salad,584,28.0,55.4
original chicken sandwich burger king,569,29.2,52.2
double whopper burger king,942,58.6,51.4
premium crispy chicken club sandwich mcdonalds,635,29.9,57.4
hamburger mcdonalds,251,9.6,28.8
pepperoni pizza dominos,308,12.6,36.0
sausage pizza,325,14.3,35.5
pepperoni pizza,313,13.2,35.5
pepperoni pizza pizza hut,269,10.9,30.3
cheese pizza pizza hut,260,10.5,30.0
cheese pizza,285,10.4,35.7
cheese pizza dominos,278,9.7,35.9
meat vegetable pizza,332,14.8,34.5
sucker raw,146,3.7,0.0
northern pike raw,348,2.7,0.0
haddock cooked,135,0.8,0.0
burbot cooked,104,0.9,0.0
pollock cooked,356,3.8,0.0
rainbow smelt raw,27,0.7,0.0
whitefish cooked,265,11.6,0.0
walleye pike raw,148,1.9,0.0
carp cooked,275,12.2,0.0
wolffish cooked,293,7.3,0.0
snapper cooked,218,2.9,0.0
roe cooked,58,2.3,0.5
anchovy raw,37,1.4,0.0
herring raw,291,16.6,0.0
cod raw,189,1.5,0.0
tilapia raw,111,2.0,0.0
whiting cooked,84,1.2,0.0
skipjack tuna cooked,407,4.0,0.0
salmon cooked,733,44.0,0.0
chum salmon cooked,474,14.9,0.0
american shad cooked,363,25.4,0.0
shark cooked,65,3.9,1.8
trout cooked,118,5.3,0.0
swordfish raw,196,9.0,0.0
rainbow trout cooked,119,5.2,0.0
fish sandwich with cheese,374,19.6,35.4
jellyfish dried,21,0.8,0.0
mullet raw,139,4.5,0.0
halibut cooked,353,5.1,0.0
lingcod raw,213,2.7,0.0
orange roughy cooked,30,0.3,0.0
cisco raw,77,1.5,0.0
florida pompano cooked,186,10.7,0.0
snapper raw,218,2.9,0.0
fish sandwich,565,27.4,58.7
haddock raw,143,0.9,0.0
ocean perch raw,51,1.0,0.0
cuttlefish cooked,45,0.4,0.5
cod cooked,189,1.5,0.0
